model,category,precision,recall,f1_score,support
bart,ACCOUNTANT,0.626667,0.840000,0.693333,1.000000
bart,ADVOCATE,0.000000,0.000000,0.000000,1.000000
bart,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
bart,APPAREL,0.451810,0.493333,0.442768,3.000000
bart,ARTS,0.082381,0.106667,0.088762,3.000000
bart,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
bart,AVIATION,0.140000,0.106667,0.116000,3.000000
bart,BANKING,0.156667,0.140000,0.138667,2.000000
bart,BPO,0.000000,0.000000,0.000000,0.000000
bart,BUSINESS-DEVELOPMENT,0.413429,0.660000,0.474159,2.000000
bart,CHEF,0.000000,0.000000,0.000000,0.000000
bart,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
bart,CONSULTANT,0.000000,0.000000,0.000000,0.000000
bart,DESIGNER,0.000000,0.000000,0.000000,0.000000
bart,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
bart,ENGINEERING,0.000000,0.000000,0.000000,0.000000
bart,FINANCE,0.000000,0.000000,0.000000,0.000000
bart,FITNESS,0.000000,0.000000,0.000000,0.000000
bart,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
bart,HR,0.000000,0.000000,0.000000,0.000000
bart,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
bart,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
bart,SALES,0.000000,0.000000,0.000000,0.000000
bart,TEACHER,0.000000,0.000000,0.000000,0.000000
flan_t5_base,ACCOUNTANT,0.353333,0.480000,0.393333,1.000000
flan_t5_base,ADVOCATE,0.050000,0.080000,0.056000,1.000000
flan_t5_base,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
flan_t5_base,APPAREL,0.300190,0.493333,0.364768,3.000000
flan_t5_base,ARTS,0.057333,0.066667,0.059333,3.000000
flan_t5_base,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
flan_t5_base,AVIATION,0.124000,0.080000,0.086000,3.000000
flan_t5_base,BANKING,0.199714,0.340000,0.245841,2.000000
flan_t5_base,BPO,0.000000,0.000000,0.000000,0.000000
flan_t5_base,BUSINESS-DEVELOPMENT,0.111333,0.120000,0.107429,2.000000
flan_t5_base,CHEF,0.000000,0.000000,0.000000,0.000000
flan_t5_base,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
flan_t5_base,CONSULTANT,0.000000,0.000000,0.000000,0.000000
flan_t5_base,DESIGNER,0.000000,0.000000,0.000000,0.000000
flan_t5_base,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
flan_t5_base,ENGINEERING,0.000000,0.000000,0.000000,0.000000
flan_t5_base,FINANCE,0.000000,0.000000,0.000000,0.000000
flan_t5_base,FITNESS,0.000000,0.000000,0.000000,0.000000
flan_t5_base,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
flan_t5_base,HR,0.000000,0.000000,0.000000,0.000000
flan_t5_base,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
flan_t5_base,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
flan_t5_base,SALES,0.000000,0.000000,0.000000,0.000000
flan_t5_base,TEACHER,0.000000,0.000000,0.000000,0.000000
kl,ACCOUNTANT,0.640000,0.800000,0.686667,1.000000
kl,ADVOCATE,0.000000,0.000000,0.000000,1.000000
kl,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
kl,APPAREL,0.412476,0.426667,0.386508,3.000000
kl,ARTS,0.300762,0.386667,0.315027,3.000000
kl,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
kl,AVIATION,0.567333,0.373333,0.421619,3.000000
kl,BANKING,0.033333,0.040000,0.036000,2.000000
kl,BPO,0.000000,0.000000,0.000000,0.000000
kl,BUSINESS-DEVELOPMENT,0.209333,0.220000,0.192190,2.000000
kl,CHEF,0.000000,0.000000,0.000000,0.000000
kl,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
kl,CONSULTANT,0.000000,0.000000,0.000000,0.000000
kl,DESIGNER,0.000000,0.000000,0.000000,0.000000
kl,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
kl,ENGINEERING,0.000000,0.000000,0.000000,0.000000
kl,FINANCE,0.000000,0.000000,0.000000,0.000000
kl,FITNESS,0.000000,0.000000,0.000000,0.000000
kl,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
kl,HR,0.000000,0.000000,0.000000,0.000000
kl,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
kl,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
kl,SALES,0.000000,0.000000,0.000000,0.000000
kl,TEACHER,0.000000,0.000000,0.000000,0.000000
lexrank,ACCOUNTANT,0.820000,1.000000,0.880000,1.000000
lexrank,ADVOCATE,0.000000,0.000000,0.000000,1.000000
lexrank,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
lexrank,APPAREL,0.406952,0.680000,0.495778,3.000000
lexrank,ARTS,0.203143,0.200000,0.185651,3.000000
lexrank,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
lexrank,AVIATION,0.749333,0.666667,0.682762,3.000000
lexrank,BANKING,0.430000,0.320000,0.348000,2.000000
lexrank,BPO,0.000000,0.000000,0.000000,0.000000
lexrank,BUSINESS-DEVELOPMENT,0.261333,0.400000,0.307429,2.000000
lexrank,CHEF,0.000000,0.000000,0.000000,0.000000
lexrank,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
lexrank,CONSULTANT,0.000000,0.000000,0.000000,0.000000
lexrank,DESIGNER,0.000000,0.000000,0.000000,0.000000
lexrank,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
lexrank,ENGINEERING,0.000000,0.000000,0.000000,0.000000
lexrank,FINANCE,0.000000,0.000000,0.000000,0.000000
lexrank,FITNESS,0.000000,0.000000,0.000000,0.000000
lexrank,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
lexrank,HR,0.000000,0.000000,0.000000,0.000000
lexrank,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
lexrank,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
lexrank,SALES,0.000000,0.000000,0.000000,0.000000
lexrank,TEACHER,0.000000,0.000000,0.000000,0.000000
lsa,ACCOUNTANT,0.586667,0.800000,0.653333,1.000000
lsa,ADVOCATE,0.000000,0.000000,0.000000,1.000000
lsa,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
lsa,APPAREL,0.332381,0.760000,0.456277,3.000000
lsa,ARTS,0.271333,0.200000,0.210063,3.000000
lsa,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
lsa,AVIATION,0.304667,0.213333,0.224984,3.000000
lsa,BANKING,0.033333,0.040000,0.036000,2.000000
lsa,BPO,0.000000,0.000000,0.000000,0.000000
lsa,BUSINESS-DEVELOPMENT,0.198000,0.260000,0.211429,2.000000
lsa,CHEF,0.000000,0.000000,0.000000,0.000000
lsa,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
lsa,CONSULTANT,0.000000,0.000000,0.000000,0.000000
lsa,DESIGNER,0.000000,0.000000,0.000000,0.000000
lsa,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
lsa,ENGINEERING,0.000000,0.000000,0.000000,0.000000
lsa,FINANCE,0.000000,0.000000,0.000000,0.000000
lsa,FITNESS,0.000000,0.000000,0.000000,0.000000
lsa,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
lsa,HR,0.000000,0.000000,0.000000,0.000000
lsa,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
