split_id,model,category,precision,recall,f1_score,support
1,bart,ACCOUNTANT,0.000000,0.000000,0.000000,1.000000
1,bart,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,bart,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,bart,APPAREL,1.000000,0.666667,0.800000,3.000000
1,bart,ARTS,0.166667,0.333333,0.222222,3.000000
1,bart,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,bart,AVIATION,0.333333,0.333333,0.333333,3.000000
1,bart,BANKING,0.000000,0.000000,0.000000,2.000000
1,bart,BPO,0.000000,0.000000,0.000000,0.000000
1,bart,BUSINESS-DEVELOPMENT,1.000000,1.000000,1.000000,2.000000
1,bart,CHEF,0.000000,0.000000,0.000000,0.000000
1,bart,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,bart,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,bart,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,bart,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,bart,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,bart,FINANCE,0.000000,0.000000,0.000000,0.000000
1,bart,FITNESS,0.000000,0.000000,0.000000,0.000000
1,bart,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,bart,HR,0.000000,0.000000,0.000000,0.000000
1,bart,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,bart,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,bart,SALES,0.000000,0.000000,0.000000,0.000000
1,bart,TEACHER,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,ACCOUNTANT,0.000000,0.000000,0.000000,1.000000
1,flan_t5_base,ADVOCATE,1.000000,1.000000,1.000000,1.000000
1,flan_t5_base,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,flan_t5_base,APPAREL,0.400000,0.666667,0.500000,3.000000
1,flan_t5_base,ARTS,0.200000,0.333333,0.250000,3.000000
1,flan_t5_base,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,flan_t5_base,AVIATION,0.000000,0.000000,0.000000,3.000000
1,flan_t5_base,BANKING,0.333333,0.500000,0.400000,2.000000
1,flan_t5_base,BPO,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
1,flan_t5_base,CHEF,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,FINANCE,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,FITNESS,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,HR,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,SALES,0.000000,0.000000,0.000000,0.000000
1,flan_t5_base,TEACHER,0.000000,0.000000,0.000000,0.000000
1,kl,ACCOUNTANT,0.333333,1.000000,0.500000,1.000000
1,kl,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,kl,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,kl,APPAREL,0.333333,0.333333,0.333333,3.000000
1,kl,ARTS,0.333333,0.333333,0.333333,3.000000
1,kl,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,kl,AVIATION,1.000000,0.333333,0.500000,3.000000
1,kl,BANKING,0.000000,0.000000,0.000000,2.000000
1,kl,BPO,0.000000,0.000000,0.000000,0.000000
1,kl,BUSINESS-DEVELOPMENT,0.000000,0.000000,0.000000,2.000000
1,kl,CHEF,0.000000,0.000000,0.000000,0.000000
1,kl,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,kl,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,kl,DESIGNER,0.000000,0.000000,0.000000,0.000000
1,kl,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
1,kl,ENGINEERING,0.000000,0.000000,0.000000,0.000000
1,kl,FINANCE,0.000000,0.000000,0.000000,0.000000
1,kl,FITNESS,0.000000,0.000000,0.000000,0.000000
1,kl,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
1,kl,HR,0.000000,0.000000,0.000000,0.000000
1,kl,INFORMATION-TECHNOLOGY,0.000000,0.000000,0.000000,0.000000
1,kl,PUBLIC-RELATIONS,0.000000,0.000000,0.000000,0.000000
1,kl,SALES,0.000000,0.000000,0.000000,0.000000
1,kl,TEACHER,0.000000,0.000000,0.000000,0.000000
1,lexrank,ACCOUNTANT,1.000000,1.000000,1.000000,1.000000
1,lexrank,ADVOCATE,0.000000,0.000000,0.000000,1.000000
1,lexrank,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
1,lexrank,APPAREL,0.600000,1.000000,0.750000,3.000000
1,lexrank,ARTS,0.000000,0.000000,0.000000,3.000000
1,lexrank,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
1,lexrank,AVIATION,0.500000,0.333333,0.400000,3.000000
1,lexrank,BANKING,0.333333,0.500000,0.400000,2.000000
1,lexrank,BPO,0.000000,0.000000,0.000000,0.000000
1,lexrank,BUSINESS-DEVELOPMENT,0.333333,0.500000,0.400000,2.000000
1,lexrank,CHEF,0.000000,0.000000,0.000000,0.000000
1,lexrank,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
1,lexrank,CONSULTANT,0.000000,0.000000,0.000000,0.000000
1,lexrank,DESIGNER,0.000000,0.000000,0.000000,0.000000
