split_id,model,accuracy,f1_weighted,f1_macro
1,bart,0.352941,0.356863,0.098148
1,flan_t5_base,0.294118,0.238235,0.089583
1,kl,0.235294,0.235294,0.069444
1,lexrank,0.411765,0.355882,0.122917
1,lsa,0.352941,0.285714,0.095238
1,luhn,0.411765,0.370448,0.124504
1,pegasus,0.235294,0.176471,0.078704
1,random,0.470588,0.391036,0.140476
1,reduction,0.352941,0.305882,0.086111
1,t5,0.235294,0.232353,0.082639
1,t5_large,0.117647,0.121849,0.032738
1,t5_small,0.352941,0.292335,0.106061
1,textrank,0.588235,0.574790,0.205159
2,bart,0.352941,0.329412,0.116667
2,flan_t5_base,0.235294,0.193137,0.068750
2,kl,0.294118,0.268067,0.091071
2,lexrank,0.411765,0.324370,0.109921
2,lsa,0.411765,0.333333,0.102778
2,luhn,0.529412,0.441176,0.145833
2,pegasus,0.235294,0.247059,0.086111
2,random,0.470588,0.401961,0.118056
2,reduction,0.470588,0.403361,0.137897
2,t5,0.235294,0.166667,0.081019
2,t5_large,0.176471,0.152941,0.047222
2,t5_small,0.470588,0.426471,0.147917
2,textrank,0.529412,0.426471,0.156250
3,bart,0.294118,0.254902,0.104167
3,flan_t5_base,0.176471,0.141176,0.033333
3,kl,0.352941,0.352941,0.118056
3,lexrank,0.470588,0.405882,0.137500
3,lsa,0.411765,0.386275,0.118981
3,luhn,0.294118,0.254902,0.097222
3,pegasus,0.117647,0.105882,0.030556
3,random,0.411765,0.334034,0.078869
3,reduction,0.411765,0.352941,0.118056
3,t5,0.058824,0.047059,0.016667
3,t5_large,0.235294,0.166667,0.062500
3,t5_small,0.352941,0.309804,0.112037
3,textrank,0.411765,0.327731,0.112103
4,bart,0.294118,0.252288,0.093519
4,flan_t5_base,0.176471,0.145098,0.067593
4,kl,0.352941,0.296078,0.097685
4,lexrank,0.411765,0.396078,0.128241
4,lsa,0.411765,0.341355,0.104672
4,luhn,0.411765,0.323529,0.137500
4,pegasus,0.294118,0.254902,0.083333
4,random,0.294118,0.251261,0.062798
4,reduction,0.235294,0.220321,0.079798
4,t5,0.235294,0.189076,0.058532
4,t5_large,0.235294,0.223529,0.086111
4,t5_small,0.352941,0.347339,0.125992
4,textrank,0.235294,0.200713,0.093687
5,bart,0.176471,0.160224,0.042460
5,flan_t5_base,0.235294,0.167112,0.046402
5,kl,0.411765,0.389661,0.129040
5,lexrank,0.470588,0.425490,0.135185
5,lsa,0.411765,0.328431,0.105324
5,luhn,0.352941,0.275630,0.092857
5,pegasus,0.294118,0.232238,0.054834
5,random,0.294118,0.232493,0.095238
5,reduction,0.411765,0.396078,0.130556
