model,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_weighted_mean,f1_weighted_std,f1_weighted_ci_low,f1_weighted_ci_high,f1_macro_mean,f1_macro_std,f1_macro_ci_low,f1_macro_ci_high
lexrank,25,0.442353,0.072284,0.412516,0.472190,0.402071,0.066968,0.374428,0.429714,0.117717,0.020793,0.109134,0.126300
reduction,25,0.423529,0.058824,0.399248,0.447811,0.377753,0.050690,0.356829,0.398677,0.111380,0.016190,0.104697,0.118062
random,25,0.407059,0.107289,0.362772,0.451346,0.372633,0.101058,0.330918,0.414348,0.119497,0.034168,0.105394,0.133601
textrank,25,0.404706,0.070670,0.375535,0.433877,0.370413,0.065459,0.343392,0.397433,0.113810,0.027437,0.102484,0.125135
t5_small,25,0.395294,0.090685,0.357861,0.432727,0.365020,0.083146,0.330699,0.399341,0.110444,0.023856,0.100597,0.120292
luhn,25,0.407059,0.065591,0.379984,0.434133,0.353533,0.063246,0.327427,0.379640,0.105304,0.022876,0.095861,0.114746
kl,25,0.350588,0.087381,0.314519,0.386658,0.310125,0.080449,0.276917,0.343333,0.092870,0.022611,0.083537,0.102204
lsa,25,0.327059,0.063718,0.300757,0.353360,0.263249,0.052965,0.241386,0.285112,0.078796,0.016937,0.071805,0.085787
bart,25,0.277647,0.084085,0.242938,0.312356,0.254539,0.087357,0.218480,0.290599,0.077547,0.025490,0.067025,0.088069
flan_t5_base,25,0.258824,0.072044,0.229085,0.288562,0.240900,0.071788,0.211268,0.270533,0.074108,0.022283,0.064911,0.083306
pegasus,25,0.232941,0.085716,0.197559,0.268323,0.226678,0.087130,0.190712,0.262643,0.073304,0.028670,0.061470,0.085139
t5,25,0.247059,0.074018,0.216506,0.277612,0.224711,0.085192,0.189546,0.259877,0.071929,0.026012,0.061191,0.082666
t5_large,25,0.228235,0.083742,0.193668,0.262802,0.197930,0.070525,0.168819,0.227041,0.064486,0.021110,0.055772,0.073199
